Frequency (Hz)	Level (dB)
195.144653	-74.999847
195.817566	-73.189682
196.490479	-75.582596
197.163391	-74.237701
197.836304	-72.280472
198.509216	-73.064674
199.182129	-71.908951
199.855042	-72.966278
200.527954	-72.186119
201.200867	-71.333900
201.873779	-71.607285
202.546692	-72.858635
203.219604	-72.867897
203.892517	-73.179260
204.565430	-70.186325
205.238342	-70.837677
205.911255	-69.717384
206.584167	-68.992897
207.257080	-67.878830
207.929993	-69.571098
208.602905	-70.913086
209.275818	-69.578987
209.948730	-69.135780
210.621643	-58.627335
211.294556	-66.325523
211.967468	-70.262352
212.640381	-70.694786
213.313293	-72.994240
213.986206	-71.478401
214.659119	-70.276451
215.332031	-69.819756
216.004944	-69.003578
216.677856	-70.068092
217.350769	-70.259254
218.023682	-70.239662
218.696594	-70.838104
219.369507	-70.272331
220.042419	-71.215347
220.715332	-68.919586
221.388245	-68.329575
222.061157	-68.595123
222.734070	-68.905197
223.406982	-69.299080
224.079895	-70.327431
224.752808	-69.339417
225.425720	-67.562416
226.098633	-67.214851
226.771545	-67.974045
227.444458	-67.820107
228.117371	-68.745247
228.790283	-69.817245
229.463196	-71.402542
230.136108	-68.583481
230.809021	-66.875526
231.481934	-67.609474
232.154846	-69.146400
232.827759	-70.678246
233.500671	-68.354156
234.173584	-67.564766
234.846497	-66.237183
235.519409	-68.457870
236.192322	-67.160217
236.865234	-66.640671
237.538147	-66.304153
238.211060	-66.073181
238.883972	-66.386719
239.556885	-65.052864
240.229797	-65.598495
240.902710	-65.739067
241.575623	-66.020226
242.248535	-65.344810
242.921448	-67.110802
243.594360	-66.441383
244.267273	-64.524033
244.940186	-66.390625
245.613098	-65.615585
246.286011	-64.252098
246.958923	-65.158882
247.631836	-64.879845
248.304749	-63.586689
248.977661	-65.563690
249.650574	-66.166756
250.323486	-64.771149
250.996399	-62.653645
251.669312	-62.746357
252.342224	-61.990627
253.015137	-60.644852
253.688049	-61.966805
254.360962	-62.136662
255.033875	-62.293072
255.706787	-62.209316
256.379700	-62.799183
257.052612	-61.139618
257.725525	-61.410130
258.398438	-59.287933
259.071350	-61.088463
259.744263	-60.914860
260.417175	-60.136894
261.090088	-61.349247
261.763000	-62.124268
262.435913	-59.484577
263.108826	-57.930759
263.781738	-57.976479
264.454651	-62.059586
265.127563	-59.390156
265.800476	-60.632256
266.473389	-61.387707
267.146301	-61.444786
267.819214	-61.518730
268.492126	-61.218594
269.165039	-60.462345
269.837952	-61.833427
270.510864	-60.154099
271.183777	-60.006741
271.856689	-62.210159
272.529602	-61.225060
273.202515	-61.042305
273.875427	-63.894279
