Frequency (Hz)	Level (dB)
195.144653	-67.387627
195.817566	-68.707542
196.490479	-69.104469
197.163391	-68.190231
197.836304	-67.780785
198.509216	-68.263649
199.182129	-68.040451
199.855042	-69.700439
200.527954	-67.908936
201.200867	-68.945610
201.873779	-68.164986
202.546692	-69.493523
203.219604	-67.561890
203.892517	-69.568741
204.565430	-68.311287
205.238342	-69.880150
205.911255	-67.952934
206.584167	-67.453125
207.257080	-67.994255
207.929993	-67.878922
208.602905	-68.393692
209.275818	-68.378853
209.948730	-66.682945
210.621643	-59.689247
211.294556	-68.173920
211.967468	-69.266945
212.640381	-68.166496
213.313293	-69.225586
213.986206	-68.851952
214.659119	-69.835052
215.332031	-68.696495
216.004944	-68.898567
216.677856	-68.872185
217.350769	-67.690247
218.023682	-69.172340
218.696594	-69.065979
219.369507	-69.399048
220.042419	-67.876846
220.715332	-67.361107
221.388245	-67.168854
222.061157	-67.156502
222.734070	-67.310463
223.406982	-66.308945
224.079895	-66.368141
224.752808	-68.345131
225.425720	-67.086670
226.098633	-66.092583
226.771545	-66.354317
227.444458	-66.804871
228.117371	-67.229721
228.790283	-67.689064
229.463196	-68.596222
230.136108	-65.985542
230.809021	-66.209084
231.481934	-67.308807
232.154846	-66.068985
232.827759	-65.668045
233.500671	-66.825150
234.173584	-65.571991
234.846497	-65.993896
235.519409	-65.476799
236.192322	-64.958618
236.865234	-65.952240
237.538147	-64.657120
238.211060	-65.178291
238.883972	-63.185272
239.556885	-63.808155
240.229797	-63.645313
240.902710	-62.833317
241.575623	-63.469093
242.248535	-62.590397
242.921448	-62.828766
243.594360	-62.256664
244.267273	-62.057312
244.940186	-62.931587
245.613098	-61.959740
246.286011	-61.556698
246.958923	-60.841518
247.631836	-60.703468
248.304749	-59.232098
248.977661	-59.907291
249.650574	-60.329906
250.323486	-58.923733
250.996399	-59.106236
251.669312	-58.782387
252.342224	-59.353573
253.015137	-58.118591
253.688049	-57.599155
254.360962	-56.762913
255.033875	-58.244156
255.706787	-57.837215
256.379700	-57.170559
257.052612	-57.502151
257.725525	-57.024746
258.398438	-55.593246
259.071350	-55.800159
259.744263	-55.539295
260.417175	-55.600620
261.090088	-54.563690
261.763000	-56.042408
262.435913	-55.335258
263.108826	-52.829063
263.781738	-53.247334
264.454651	-55.179962
265.127563	-53.523857
265.800476	-51.902615
266.473389	-52.698875
267.146301	-53.366062
267.819214	-53.167072
268.492126	-50.560253
269.165039	-52.188446
269.837952	-51.984936
270.510864	-53.529449
271.183777	-52.239956
271.856689	-52.440681
272.529602	-53.721096
273.202515	-53.559429
273.875427	-55.516140
274.548340	-55.802570
275.221252	-56.149509
275.894165	-57.255745
276.567078	-57.440758
277.239990	-57.321739
277.912903	-58.434895
278.585815	-57.081322
279.258728	-56.720688
279.931641	-57.540993
280.604553	-60.091251
281.277466	-59.894859
281.950378	-59.250511
282.623291	-61.203041
283.296204	-59.839199
283.969116	-59.956245
284.642029	-61.385967
285.314941	-60.183151
285.987854	-62.913780
286.660767	-62.275826
