Frequency (Hz)	Level (dB)
195.144653	-70.760384
195.817566	-73.332108
196.490479	-70.234993
197.163391	-70.224205
197.836304	-72.466537
198.509216	-70.717484
199.182129	-69.093269
199.855042	-71.252403
200.527954	-70.609802
201.200867	-70.933311
201.873779	-70.822601
202.546692	-71.743858
203.219604	-70.109344
203.892517	-69.096664
204.565430	-70.597191
205.238342	-69.501305
205.911255	-68.159660
206.584167	-69.225471
207.257080	-70.809578
207.929993	-68.148224
208.602905	-70.368454
209.275818	-68.567696
209.948730	-68.755905
210.621643	-59.767181
211.294556	-68.064743
211.967468	-69.343811
212.640381	-71.178932
213.313293	-72.786308
213.986206	-70.909470
214.659119	-70.683990
215.332031	-69.987167
216.004944	-70.043167
216.677856	-70.559830
217.350769	-71.008911
218.023682	-70.138657
218.696594	-69.170822
219.369507	-70.115356
220.042419	-69.740891
220.715332	-67.940498
221.388245	-69.997696
222.061157	-70.578865
222.734070	-69.861343
223.406982	-68.879707
224.079895	-69.696442
224.752808	-68.672432
225.425720	-68.453812
226.098633	-69.400726
226.771545	-69.815315
227.444458	-67.074585
228.117371	-69.780373
228.790283	-70.138596
229.463196	-71.700157
230.136108	-69.607285
230.809021	-69.118423
231.481934	-69.597191
232.154846	-70.991844
232.827759	-70.634865
233.500671	-68.912811
234.173584	-67.545891
234.846497	-68.247002
235.519409	-68.974922
236.192322	-69.062782
236.865234	-66.521767
237.538147	-67.406479
238.211060	-67.165916
238.883972	-68.732162
239.556885	-67.045944
240.229797	-68.350677
240.902710	-67.844032
241.575623	-68.143646
242.248535	-68.432755
242.921448	-67.345352
243.594360	-68.371567
244.267273	-66.615768
244.940186	-68.215424
245.613098	-67.197250
246.286011	-67.486977
246.958923	-68.327820
247.631836	-68.220131
248.304749	-66.890152
248.977661	-68.412964
249.650574	-68.443840
250.323486	-67.756790
250.996399	-66.388496
251.669312	-67.813004
252.342224	-65.990295
253.015137	-65.256027
253.688049	-65.260521
254.360962	-64.800903
255.033875	-67.328972
255.706787	-66.368530
256.379700	-65.028717
257.052612	-65.673569
257.725525	-65.929726
258.398438	-65.026505
259.071350	-65.990547
259.744263	-65.574951
260.417175	-64.783524
261.090088	-65.473511
261.763000	-65.820625
262.435913	-65.125343
263.108826	-61.978683
263.781738	-62.218815
264.454651	-64.636322
265.127563	-63.702557
265.800476	-64.561432
266.473389	-64.902016
267.146301	-64.062637
267.819214	-63.979008
268.492126	-61.330818
269.165039	-62.465813
269.837952	-63.771744
270.510864	-62.296871
271.183777	-59.924603
271.856689	-62.120411
272.529602	-61.552856
273.202515	-60.949898
273.875427	-62.137566
274.548340	-64.365730
275.221252	-61.951614
275.894165	-62.233234
276.567078	-60.875549
277.239990	-58.686920
277.912903	-60.133266
278.585815	-60.221375
279.258728	-62.696758
279.931641	-59.603790
280.604553	-61.296127
281.277466	-60.922943
281.950378	-59.574192
282.623291	-60.636070
283.296204	-59.689777
283.969116	-58.776737
284.642029	-58.883400
285.314941	-59.489872
285.987854	-58.637489
286.660767	-57.316463
287.333679	-58.445404
288.006592	-57.940819
288.679504	-60.204861
289.352417	-61.572735
290.025330	-59.550156
290.698242	-59.001503
291.371155	-61.060741
292.044067	-61.091625
292.716980	-59.835567
293.389893	-59.617695
294.062805	-59.562046
294.735718	-60.883373
295.408630	-60.047848
296.081543	-60.119614
296.754456	-60.475060
297.427368	-59.526356
298.100281	-58.733208
298.773193	-60.139427
299.446106	-60.383045
300.119019	-59.566235
300.791931	-59.927189
301.464844	-61.021545
302.137756	-59.451283
302.810669	-61.375553
303.483582	-63.011780
304.156494	-60.775024
304.829407	-59.503334
305.502319	-61.522911
306.175232	-61.826561
306.848145	-61.278915
307.521057	-62.455414
308.193970	-64.524338
308.866882	-62.428574
309.539795	-63.094185
310.212708	-62.596119
310.885620	-63.330708
311.558533	-64.389183
312.231445	-64.439735
312.904358	-64.544373
313.577271	-63.654903
314.250183	-63.575890
314.923096	-63.695705
315.596008	-62.403664
316.268921	-64.822166
316.941833	-65.234360
317.614746	-66.277504
318.287659	-65.854141
318.960571	-63.209316
319.633484	-65.326653
320.306396	-64.632317
320.979309	-66.108353
321.652222	-66.253952
322.325134	-64.680130
322.998047	-65.936813
323.670959	-66.064163
324.343872	-66.636948
325.016785	-67.884392
325.689697	-66.071228
326.362610	-67.666122
327.035522	-66.348183
327.708435	-67.866570
328.381348	-66.599762
329.054260	-66.998871
329.727173	-67.261375
330.400085	-66.872147
331.072998	-68.396492
331.745911	-69.045799
332.418823	-69.799004
333.091736	-69.192200
333.764648	-69.436584
334.437561	-67.743904
335.110474	-68.593781
335.783386	-67.034637
336.456299	-68.185234
337.129211	-68.768234
337.802124	-67.707260
338.475037	-68.677071
339.147949	-66.693336
339.820862	-67.606293
340.493774	-67.991737
341.166687	-69.201248
341.839600	-67.756203
342.512512	-68.277893
343.185425	-68.610199
343.858337	-71.005211
344.531250	-70.587524
345.204163	-69.080063
345.877075	-69.284714
346.549988	-69.658798
347.222900	-69.543434
347.895813	-69.826485
348.568726	-69.460587
349.241638	-68.597961
349.914551	-67.786652
350.587463	-67.998352
351.260376	-68.693863
351.933289	-69.556923
352.606201	-71.279610
353.279114	-70.815582
353.952026	-72.081154
354.624939	-70.513618
355.297852	-71.745216
355.970764	-70.799866
356.643677	-71.014397
357.316589	-71.434151
357.989502	-71.756180
358.662415	-70.741531
359.335327	-73.309372
360.008240	-70.963478
360.681152	-70.489876
361.354065	-71.629524
362.026978	-70.735054
362.699890	-71.647354
363.372803	-70.687309
364.045715	-71.474533
364.718628	-71.109909
365.391541	-71.902214
366.064453	-70.179749
366.737366	-70.880264
367.410278	-71.775352
368.083191	-71.500755
368.756104	-71.618935
369.429016	-72.452904
370.101929	-71.994606
370.774841	-71.864204
371.447754	-71.722618
372.120667	-72.420769
372.793579	-72.441078
373.466492	-73.328011
374.139404	-72.471970
374.812317	-72.585457
375.485229	-71.330078
376.158142	-71.815048
376.831055	-73.962555
377.503967	-72.301048
378.176880	-72.414688
378.849792	-72.062111
379.522705	-72.934883
380.195618	-72.758812
380.868530	-73.452240
381.541443	-72.291466
382.214355	-71.510628
382.887268	-72.519989
383.560181	-71.007530
384.233093	-72.671806
384.906006	-72.233627
385.578918	-73.571259
386.251831	-72.584770
386.924744	-73.609810
387.597656	-73.076714
388.270569	-72.450439
388.943481	-72.679062
389.616394	-72.101273
390.289307	-73.298340
390.962219	-73.331581
391.635132	-71.128357
392.308044	-71.699326
392.980957	-72.612816
393.653870	-74.267220
394.326782	-73.639557
394.999695	-72.764343
395.672607	-73.858604
396.345520	-71.222496
397.018433	-74.897522
397.691345	-72.538467
398.364258	-72.127647
399.037170	-72.440193
399.710083	-73.005882
400.382996	-72.564507
401.055908	-73.526398
401.728821	-71.349724
402.401733	-73.642784
403.074646	-71.867607
403.747559	-72.218330
404.420471	-73.292442
405.093384	-73.781288
405.766296	-74.916122
406.439209	-73.691948
407.112122	-74.756836
407.785034	-72.270882
408.457947	-73.523453
409.130859	-73.838966
409.803772	-75.332405
410.476685	-74.114708
411.149597	-72.685265
411.822510	-74.739296
412.495422	-73.770515
413.168335	-72.519409
413.841248	-72.153481
414.514160	-73.546555
415.187073	-72.030525
415.859985	-74.567741
416.532898	-75.127266
417.205811	-73.907509
417.878723	-74.364052
418.551636	-73.783066
419.224548	-74.577507
419.897461	-73.863701
420.570374	-72.506859
421.243286	-73.150887
421.916199	-73.817978
422.589111	-73.982841
423.262024	-72.803078
423.934937	-74.827286
424.607849	-74.862823
425.280762	-74.438026
425.953674	-74.366333
426.626587	-75.895401
427.299500	-74.166786
427.972412	-73.329910
428.645325	-73.367409
429.318237	-75.235901
429.991150	-75.205872
430.664062	-74.550529
431.336975	-73.873512
432.009888	-75.856743
432.682800	-76.042061
433.355713	-75.334641
434.028625	-75.749870
434.701538	-75.826004
435.374451	-74.928596
436.047363	-74.505554
436.720276	-73.471718
437.393188	-76.610619
438.066101	-75.028076
438.739014	-72.389008
439.411926	-73.705803
440.084839	-73.111748
440.757751	-73.224693
441.430664	-73.940536
442.103577	-74.482544
442.776489	-74.155075
443.449402	-76.324593
444.122314	-77.069984
444.795227	-74.268684
445.468140	-73.015091
446.141052	-75.650497
446.813965	-72.895470
447.486877	-74.890831
448.159790	-74.132217
