Frequency (Hz)	Level (dB)
195.144653	-69.822823
195.817566	-66.770340
196.490479	-66.126038
197.163391	-67.531502
197.836304	-68.270035
198.509216	-68.822624
199.182129	-70.228065
199.855042	-67.856888
200.527954	-67.555084
201.200867	-70.587654
201.873779	-67.968933
202.546692	-69.938133
203.219604	-67.023445
203.892517	-69.329811
204.565430	-65.253365
205.238342	-70.290260
205.911255	-67.106117
206.584167	-67.727463
207.257080	-67.271347
207.929993	-68.247887
208.602905	-69.007233
209.275818	-66.786026
209.948730	-68.436760
210.621643	-60.980396
211.294556	-67.449287
211.967468	-71.037529
212.640381	-67.722687
213.313293	-70.945175
213.986206	-67.835793
214.659119	-70.796310
215.332031	-72.877945
216.004944	-71.078918
216.677856	-67.868240
217.350769	-71.447655
218.023682	-69.721298
218.696594	-67.883163
219.369507	-68.893944
220.042419	-65.982407
220.715332	-66.334892
221.388245	-67.566559
222.061157	-66.731186
222.734070	-67.842377
223.406982	-66.004143
224.079895	-66.832863
224.752808	-68.221375
225.425720	-68.356949
226.098633	-68.222076
226.771545	-70.601112
227.444458	-66.652969
228.117371	-65.610382
228.790283	-65.656441
229.463196	-66.894699
230.136108	-66.060013
230.809021	-66.497353
231.481934	-66.461098
232.154846	-67.344276
232.827759	-66.805763
233.500671	-68.397194
234.173584	-64.304863
234.846497	-63.742245
235.519409	-63.790390
236.192322	-64.279427
236.865234	-64.328850
237.538147	-64.038673
238.211060	-63.183971
238.883972	-64.609215
239.556885	-63.578598
240.229797	-66.031662
240.902710	-67.942986
241.575623	-72.691971
242.248535	-63.166973
242.921448	-63.940250
243.594360	-65.522789
244.267273	-63.905079
244.940186	-62.481655
245.613098	-63.286312
246.286011	-59.678440
246.958923	-61.853573
247.631836	-62.661293
248.304749	-62.428013
248.977661	-60.607746
249.650574	-57.229362
250.323486	-57.449692
250.996399	-61.245777
251.669312	-59.387581
252.342224	-58.691051
253.015137	-57.899788
253.688049	-55.466885
254.360962	-56.442692
255.033875	-57.611637
255.706787	-60.164528
256.379700	-59.609177
257.052612	-55.946465
257.725525	-54.845848
258.398438	-57.980053
259.071350	-53.942055
259.744263	-54.652527
260.417175	-54.812157
261.090088	-57.291962
261.763000	-54.082413
262.435913	-55.916039
263.108826	-54.810856
263.781738	-54.734688
264.454651	-52.235222
265.127563	-56.420956
265.800476	-50.632790
266.473389	-53.398899
267.146301	-51.099045
267.819214	-53.326733
268.492126	-52.471386
269.165039	-52.835949
269.837952	-51.298233
270.510864	-52.253918
271.183777	-51.940895
271.856689	-51.946583
272.529602	-54.747684
273.202515	-53.731586
273.875427	-54.042355
274.548340	-54.761444
275.221252	-56.427814
275.894165	-57.598141
276.567078	-55.509701
277.239990	-57.927235
277.912903	-56.623749
278.585815	-54.734650
279.258728	-56.897499
279.931641	-55.176281
280.604553	-58.624432
281.277466	-61.138042
281.950378	-57.656120
282.623291	-65.629410
283.296204	-60.897526
283.969116	-58.272011
284.642029	-59.013172
285.314941	-57.769424
285.987854	-63.001701
286.660767	-60.501888
287.333679	-60.477646
288.006592	-63.459167
288.679504	-63.411453
289.352417	-62.830711
290.025330	-65.931381
290.698242	-63.999119
291.371155	-62.697620
292.044067	-63.534649
292.716980	-63.626163
293.389893	-62.353363
294.062805	-63.916084
294.735718	-66.890533
295.408630	-64.786377
296.081543	-66.562401
296.754456	-68.257484
297.427368	-65.502853
298.100281	-67.356598
298.773193	-66.787498
299.446106	-66.316315
300.119019	-65.198891
300.791931	-65.406242
301.464844	-64.546394
302.137756	-62.537495
302.810669	-66.344589
303.483582	-67.723816
304.156494	-65.803040
304.829407	-69.820938
305.502319	-65.451744
306.175232	-65.835922
306.848145	-68.618782
307.521057	-65.249504
308.193970	-67.242859
308.866882	-69.869560
309.539795	-68.834587
310.212708	-68.158401
310.885620	-71.101860
311.558533	-69.060371
312.231445	-69.771988
312.904358	-69.636620
313.577271	-68.195404
314.250183	-74.469261
314.923096	-67.515793
315.596008	-64.798286
316.268921	-69.898918
316.941833	-69.063828
317.614746	-68.811905
318.287659	-70.981506
318.960571	-68.602974
319.633484	-69.245506
320.306396	-67.051582
320.979309	-67.862701
321.652222	-68.314034
322.325134	-68.255417
322.998047	-69.990021
323.670959	-69.242340
324.343872	-69.801918
325.016785	-66.574844
325.689697	-65.349030
326.362610	-69.177948
327.035522	-67.184959
327.708435	-67.585655
328.381348	-65.778152
329.054260	-67.982773
329.727173	-68.818459
330.400085	-66.968933
331.072998	-66.228271
331.745911	-66.160027
332.418823	-68.256866
333.091736	-66.744507
333.764648	-68.693810
334.437561	-70.857101
335.110474	-68.746689
335.783386	-68.418861
336.456299	-73.688408
337.129211	-70.689949
337.802124	-63.548210
338.475037	-69.925949
339.147949	-63.853546
339.820862	-65.199692
340.493774	-67.076767
341.166687	-68.337166
341.839600	-71.125351
342.512512	-69.942429
343.185425	-66.253601
343.858337	-69.983475
344.531250	-69.870728
345.204163	-69.794525
345.877075	-65.675331
346.549988	-69.557709
347.222900	-70.567772
347.895813	-66.138145
348.568726	-66.004219
349.241638	-67.170364
349.914551	-68.021248
350.587463	-68.971054
351.260376	-67.957214
351.933289	-64.295578
352.606201	-68.675613
353.279114	-70.166992
353.952026	-69.639320
354.624939	-69.604172
355.297852	-72.161751
355.970764	-67.863335
356.643677	-68.898560
357.316589	-66.489044
357.989502	-72.410912
358.662415	-66.463142
359.335327	-71.570740
360.008240	-69.313210
360.681152	-66.544792
361.354065	-67.963028
362.026978	-72.540550
362.699890	-71.890221
363.372803	-69.260521
